Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,33,13.81,2.389702554,6.693711968,-51.52733155,-24.86186831,-18.71402019,-18.72093453,0.408590466,-17.02904568
Australia,5.3,1.42,3.743655,1.07505071,-24.0637931,-28.16406359,-22.28640312,-22.29301358,-4.004199228,-20.67548042
Brazil,13.5,4.02,3.354203936,2.738336714,-31.96340901,7.109624992,15.87340034,15.86354394,43.13273738,18.27533641
Britain,2.89,0.68,4.2218565,0.586206897,-14.36396552,-7.555369572,0.008506905,0,23.53561139,2.081580096
Canada,5.84,1.41,4.144195288,1.184584178,-15.93924365,-12.92143706,-5.79661552,-5.80462863,16.36482793,-3.843876529
Chile,2100,715.22,2.93618003,425.9634888,-40.44259574,-9.75946226,-2.375926001,-2.384230082,20.59023818,-0.352279645
China,17.6,6.56,2.6836632,3.569979716,-45.56464097,-9.440439361,-2.030800453,-2.03913389,21.01655487,0
Colombia,7900,3253.90,2.427855804,1602.434077,-50.75343197,-18.48470256,-11.81507082,-11.82257199,8.930524803,-9.987088199
Costa Rica,2150,535.25,4.016814573,436.1054767,-18.52303098,,,,,
Czech Republic,75,25.14,2.982795237,15.21298174,-39.49705401,-13.93619773,-6.89440453,-6.90232426,15.00878292,-4.964421573
Denmark,30,6.94,4.322455155,6.085192698,-12.32342486,-16.97811972,-10.18521846,-10.19285826,10.94380162,-8.323450676
Egypt,16.93,7.83,2.162182872,3.434077079,-56.14233525,-22.33763172,-15.98324901,-15.99039563,3.781778389,-14.24166843
Euro area,3.72,0.93,3.999,0.754563895,-18.88438134,-7.56323308,0,-0.008506181,23.52510323,2.072896852
Hong Kong,19.2,7.75,2.476668365,3.894523327,-49.76331917,-42.7692376,-38.08658144,-38.09184791,-23.52138582,-36.80318014
Hungary,900,292.68,3.075040731,182.5557809,-37.62594865,-4.740885195,3.053274124,3.044508226,27.29666324,5.189462198
India,127,66.80,1.901126455,25.76064909,-61.43759726,-29.92029624,-24.18633181,-24.19278066,-6.351088105,-22.61479267
Indonesia,30500,13947.50,2.186771823,6186.612576,-55.64357357,-21.71477221,-15.30942676,-15.3166307,4.614118017,-13.55387854
Israel,16.9,3.94,4.288197308,3.427991886,-13.01831019,1.871376055,10.20655465,10.19718028,36.1327604,12.49102286
Japan,370,118.65,3.118546926,75.05070994,-36.74347007,-25.16762625,-19.04479544,-19.05168164,0,-17.36667756
Malaysia,8,4.39,1.821286283,1.622718053,-63.05707336,-41.4295718,-36.63730336,-36.64269311,-21.73116357,-35.32386002
Mexico,49,17.44,2.810156709,9.939148073,-42.99884971,-9.304086588,-1.883291212,-1.891637197,21.19876582,0.150566955
New Zealand,5.9,1.51,3.91229,1.196754564,-20.64320487,-12.4272934,-5.262040726,-5.270099308,17.02516199,-3.298220551
Norway,46.8,8.97,5.214688038,9.492900609,5.774605233,-22.38316708,-16.03251011,-16.03965253,3.720928568,-14.29195065
Pakistan,300,104.89,2.86027554,60.85192698,-41.98224057,5.898407815,14.56308063,14.55333568,41.51416361,16.93785512
Peru,10,3.42,2.925687537,2.028397566,-40.65542522,0.324243506,8.532834768,8.523602768,34.06529619,10.78260848
Philippines,131,47.02,2.785900367,26.57200811,-43.49086477,0.736471214,8.9787912,8.969521267,34.61616433,11.23780913
Poland,9.6,4.05,2.371717272,1.947261663,-51.89214459,-27.04326938,-21.07390484,-21.08061843,-2.506459475,-19.4378483
Russia,114,74.66,1.527024312,23.12373225,-69.02587603,-51.97548595,-48.04609069,-48.05050999,-35.8238799,-46.96913974
Saudi Arabia,12,3.75,3.196334869,2.434077079,-35.16562131,-12.77291975,-5.635946437,-5.643973214,16.56329458,-3.679876941
Singapore,4.7,1.44,3.270133936,0.953346856,-33.66868283,-34.73497157,-29.39494684,-29.40095263,-12.78503519,-27.93137691
South Africa,28,15.81,1.770611019,5.679513185,-64.08496919,-39.31420843,-34.34885967,-34.35444408,-18.90436114,-32.98797925
South Korea,4300,1197.75,3.590064705,872.2109533,-27.17921492,-6.034904344,1.653377532,1.644730712,25.56743953,3.760547195
Sri Lanka,350,144.05,2.429711906,70.99391481,-50.71578285,,,,,
