Immigration ,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,,,,
geo\time,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,
EU (28 countries),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
EU (27 countries),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euro area (18 countries),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euro area (17 countries),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Belgium,113857,,112060,,117236,,132810,,137699,,146409,,:,,:,,135281,(b),144698,,147387,,118256,
Bulgaria,:,,:,,:,,:,,:,,1561,,:,,:,,:,,:,,14103,(bp),18570,(p)
Czech Republic,44679,,60015,,53453,,60294,,68183,,104445,,108267,(b),75620,,48317,,27114,,34337,,30124,
Denmark,52778,,49754,,49860,,52458,,56750,,64656,,57357,(b),51800,,52236,,52833,,54409,,60312,
Germany,842543,,768975,,780175,,707352,,661855,,680766,,682146,,346216,(b),404055,,489422,,592175,,692713,
Estonia,575,,967,,1097,,1436,,2234,,3741,,3671,(b),3884,,2810,,3709,,2639,,4109,
Ireland,61725,,58875,,78075,,102000,,139434,(b),122415,,82592,,50604,,52339,,53224,,54439,,59294,(p)
Greece,:,,:,,:,,:,,:,,:,,66529,(b),58613,,60462,,60089,,58200,,57946,
Spain,483260,,672266,(b),684561,,719284,,840844,,958266,,599075,(b),392962,,360705,,371331,,304053,,280772,
France,:,,:,,:,,:,,301544,(b),293980,,296608,,296970,,307111,(b),319816,,327431,,332640,
Croatia,20365,,18455,,18383,,:,,14978,,14622,,:,,:,,:,,8534,(b),8959,,10378,
Italy,222801,,470491,,444566,,325673,,297640,,558019,,534712,(p),442940,(p),458856,,385793,,350772,,307454,
Cyprus,14370,,16779,,22003,,24419,,15545,,19017,,:,,22581,(b),20206,,23037,,17476,,13149,
Latvia,6642,,4063,,4844,,6691,,8212,,7517,,4678,,3731,,4011,,10234,(b),13303,,8299,
Lithuania,5110,,4728,,5553,,6789,,7745,,8609,,9297,,6487,,5213,,15685,,19843,,22011,
Luxembourg,12101,,13158,,12872,,14397,,14352,,16675,,17758,,15751,,16962,,20268,,20478,,21098,
Hungary,19855,,21327,,24298,,27820,,25732,(p),24361,,37652,(b),27894,,25519,(b),28018,,33702,,38968,
Malta,533,,:,,:,,187,(p),1829,(e),6730,(e),6043,(b),6161,,4275,,5465,,7111,,8428,
Netherlands,121250,,104514,,94019,,92297,,101150,,116819,,143516,,122917,(b),126776,,130118,,124566,,129428,
Austria,108125,(b),111869,,122547,,114465,,98535,,72862,(b),73772,,69295,,70978,,82230,,91557,,101866,
Poland,6587,,7048,,9495,,9364,,10802,,14995,,:,(b),189166,(b),155131,,157059,,217546,,220311,
Portugal,79300,(p),72400,(p),57920,(p),49200,(p),38800,(p),46300,(p),29718,(b),32307,,27575,,19667,,14606,,17554,
Romania,:,,:,,:,,:,,:,,:,,138929,(b),135844,,149885,,147685,,167266,,153646,
Slovenia,9134,,9279,,10171,,15041,,20016,,29193,,30693,(b),30296,,15416,,14083,,15022,,13871,
Slovakia,2312,,6551,(b),10390,,9410,,12611,,16265,,17820,,15643,,13770,,4829,(b),5419,(b),5149,
Finland,18113,,17838,,20333,,21355,,22451,,26029,,29114,,26699,,25636,,29481,,31278,,31941,
Sweden,64087,,63795,,62028,,65229,,95750,,99485,,101171,,102280,,98801,,96467,,103059,,115845,
United Kingdom,385901,,431487,,518097,,496470,,529008,,526714,,590242,(b),566514,,590950,,566044,,498040,,526046,
Iceland,4215,,3704,,5350,,7773,,9832,,12546,,10288,,3921,(b),3948,,4073,,4960,,6406,
Liechtenstein,:,,:,,:,,:,,:,,:,,578,,584,,591,,650,,671,,696,
Norway,40122,,35957,,36482,,40148,,45776,,61774,,58123,(b),55953,,69214,,70337,,69908,,68313,
Switzerland,126080,,119783,,120188,,118270,,127586,,165634,,184297,,160623,,161778,,148799,(b),149051,,160157,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,5727,,:,
"Former Yugoslav Republic of Macedonia, the",2259,,:,,1718,,2671,,2077,,1320,,1052,,:,,:,,1464,,1715,,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Turkey,:,,:,,:,,:,,:,,:,,:,,22470,,29905,,27273,,:,,:,
Belarus,:,,:,,:,,:,,:,,14155,,:,,:,,:,,:,,:,,:,
Bosnia and Herzegovina,:,,:,,:,,:,,:,,5620,,:,,:,,:,,:,,:,,:,
Moldova,:,,:,,:,,:,,:,,2070,,:,,:,,:,,:,,:,,:,
Russia,:,,:,,:,,177230,,186380,,286970,,:,,:,,:,,:,,:,,:,
San Marino,:,,:,,:,,:,,:,,429,,:,,:,,:,,:,,:,,:,
Kyrgyzstan,:,,:,,:,,:,,3420,,3960,,:,,:,,:,,:,,:,,:,
Tajikistan,:,,:,,:,,:,,1042,,:,,:,,:,,:,,:,,:,,:,
Uzbekistan,:,,:,,:,,:,,6418,,:,,:,,:,,:,,:,,:,,:,
Armenia,:,,:,,:,,:,,1335,,1112,,:,,:,,:,,:,,:,,:,
Azerbaijan,:,,:,,:,,:,,:,,1954,,:,,:,,:,,:,,:,,:,
:=not available b=break in time series p=provisional e=estimated ,,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,Eurostat,,,,,,,,,,,,,,,,,,,,,,,
Last update:,10.03.2016,,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,13 Mar 2016 23:59:24 CET,,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tps00176,,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm,,,,,,,,,,,,,,,,,,,,,,,
Code:,tps00176,,,,,,,,,,,,,,,,,,,,,,,
