Price,Date,Zip_Code,Address,ABC,EFG,X,County,Area,Area1
310000,15/01/2016,UB6 8LJ,COTSWOLD COURT,8,HODDER DRIVE,PERIVALE,GREENFORD,EALING,GREATER LONDON
420000,08/02/2016,N7 7JS,88,GROUND FLOOR FLAT,ISLEDON ROAD,,LONDON,ISLINGTON,GREATER LONDON
368250,15/02/2016,NW9 5ZE,"FELIX COURT, 11",FLAT 66,CHARCOT ROAD,,LONDON,BARNET,GREATER LONDON
350000,15/01/2016,TW8 0FD,8,APARTMENT 39,KEW BRIDGE ROAD,,BRENTFORD,HOUNSLOW,GREATER LONDON
297000,06/01/2016,HA1 2TX,23,,HIGH MEAD,,HARROW,HARROW,GREATER LONDON
350000,20/01/2016,E3 3GS,30,FLAT 19,OXLEY SQUARE,,LONDON,TOWER HAMLETS,GREATER LONDON
252000,25/01/2016,EN4 8HF,"FELINE COURT, 23",12,CAT HILL,,BARNET,BARNET,GREATER LONDON
325000,29/01/2016,TW13 5JJ,23,,SAXON AVENUE,,FELTHAM,HOUNSLOW,GREATER LONDON
415000,20/01/2016,E14 9EQ,2,APARTMENT 731,BALTIMORE WHARF,,LONDON,TOWER HAMLETS,GREATER LONDON
340000,14/01/2016,HA2 0FQ,WREN COURT,FLAT 2,SWIFT CLOSE,,HARROW,HARROW,GREATER LONDON
275000,29/01/2016,HA1 4RX,24,,MOAT DRIVE,,HARROW,HARROW,GREATER LONDON
310000,13/01/2016,W3 7FF,NAPIER HOUSE,FLAT 47,BROMYARD AVENUE,,LONDON,EALING,GREATER LONDON
97500,05/02/2016,E3 2DQ,47,FLAT 6,CHERRYWOOD CLOSE,,LONDON,TOWER HAMLETS,GREATER LONDON
160000,28/01/2016,UB10 0DD,20,,LEASIDE COURT,,UXBRIDGE,HILLINGDON,GREATER LONDON
380000,19/02/2016,N7 6RU,133,FLAT 3,SUSSEX WAY,,LONDON,ISLINGTON,GREATER LONDON
490000,27/01/2016,E9 5FA,SKY APARTMENTS,FLAT 44,HOMERTON ROAD,,LONDON,HACKNEY,GREATER LONDON
332000,22/02/2016,E3 4GL,"KIRKBY APARTMENTS, 1B",FLAT 18,BAYTHORNE STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
440000,18/02/2016,EN5 1EJ,"VESTA HOUSE, 25",FLAT 1,GREAT NORTH ROAD,NEW BARNET,BARNET,BARNET,GREATER LONDON
465000,27/01/2016,W4 5LE,2B,FLAT 24,BOLLO LANE,,LONDON,EALING,GREATER LONDON
475000,12/02/2016,N1 8PT,10,FLAT 5,PREBEND STREET,,LONDON,ISLINGTON,GREATER LONDON
250000,29/01/2016,N8 0AS,116,FLAT E,ALLISON ROAD,,LONDON,HARINGEY,GREATER LONDON
312500,02/02/2016,HA0 2PX,884,,HARROW ROAD,,WEMBLEY,BRENT,GREATER LONDON
470000,12/02/2016,HA7 2QZ,GATEHOUSE LODGE,1,OLD CHURCH LANE,,STANMORE,HARROW,GREATER LONDON
312000,12/02/2016,E3 5JD,69C,FLAT 2,ST STEPHENS ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
425000,17/02/2016,E3 5EL,519A,FLAT 3,ROMAN ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
565000,11/01/2016,N7 6FR,133,FLAT 7,AXMINSTER ROAD,,LONDON,ISLINGTON,GREATER LONDON
120000,26/01/2016,UB2 5GP,FEATHERSTONE COURT,FLAT 28,FEATHERSTONE ROAD,,SOUTHALL,EALING,GREATER LONDON
465000,08/02/2016,N16 0AJ,34,FLAT A,BOUVERIE ROAD,,LONDON,HACKNEY,GREATER LONDON
450000,11/02/2016,UB4 8SU,22,,LANGDALE DRIVE,,HAYES,HILLINGDON,GREATER LONDON
630000,11/02/2016,N4 2BS,RESIDENCE TOWER,FLAT 167,WOODBERRY GROVE,,LONDON,HACKNEY,GREATER LONDON
620000,01/02/2016,W4 2JT,73,,EASTBURY GROVE,,LONDON,HOUNSLOW,GREATER LONDON
465000,21/01/2016,NW9 5HG,"CRAWFORD COURT, 7",FLAT 12,CHARCOT ROAD,,LONDON,BARNET,GREATER LONDON
401368,10/02/2016,E1W 3AR,"BINNACLE HOUSE, 10",APARTMENT G03,COBBLESTONE SQUARE,,LONDON,TOWER HAMLETS,GREATER LONDON
375000,08/01/2016,N22 8PL,"RENEE, 66",FLAT 9,CLARENCE ROAD,WOOD GREEN,LONDON,HARINGEY,GREATER LONDON
486000,10/02/2016,W3 7FJ,NAPIER HOUSE,FLAT 127,BROMYARD AVENUE,,LONDON,EALING,GREATER LONDON
390000,11/02/2016,UB3 4FD,CARDINAL BUILDING,FLAT 204,STATION APPROACH,,HAYES,HILLINGDON,GREATER LONDON
785000,20/01/2016,E1W 3AS,"CORDAGE HOUSE, 15",APARTMENT 206,COBBLESTONE SQUARE,,LONDON,TOWER HAMLETS,GREATER LONDON
475000,01/02/2016,E2 7JQ,"ANLABY HOUSE, 31",FLAT 5,BOUNDARY STREET,,LONDON,HACKNEY,GREATER LONDON
396000,02/02/2016,NW4 1LS,CLAYDON HOUSE,FLAT 32,HOLDERS HILL ROAD,,LONDON,BARNET,GREATER LONDON
360000,26/01/2016,HA9 0BY,QUADRANT COURT,FLAT 3,EMPIRE WAY,,WEMBLEY,BRENT,GREATER LONDON
370000,02/02/2016,UB4 9HG,11,,AYLES ROAD,,HAYES,HILLINGDON,GREATER LONDON
560000,26/01/2016,N16 6PH,71,,KYVERDALE ROAD,,LONDON,HACKNEY,GREATER LONDON
495000,02/02/2016,W7 2AQ,38,FLAT 2,SOUTHDOWN AVENUE,,LONDON,EALING,GREATER LONDON
540000,19/02/2016,W13 8DW,"FRINTON COURT, 6",FLAT 9,HARDWICK GREEN,,LONDON,EALING,GREATER LONDON
600000,18/01/2016,W5 1QY,22A,,PITSHANGER LANE,EALING,LONDON,EALING,GREATER LONDON
675000,08/01/2016,EC2A 4BY,24,APARTMENT 3,LEONARD STREET,,LONDON,ISLINGTON,GREATER LONDON
425000,25/01/2016,E17 8HE,117,,HIBBERT ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
364000,18/02/2016,N7 9UP,33,,BUNNING WAY,,LONDON,ISLINGTON,GREATER LONDON
343000,22/02/2016,E3 3QB,"MARNER POINT, 1",FLAT 37,JEFFERSON PLAZA,,LONDON,TOWER HAMLETS,GREATER LONDON
135000,29/01/2016,HA4 8GF,"FLOWERDOWN COURT, 2",18,FLOWERS AVENUE,,RUISLIP,HILLINGDON,GREATER LONDON
287500,15/01/2016,E1 0HJ,"EAST END MISSION, 577",34,COMMERCIAL ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
420000,21/01/2016,N1 5QS,"HERTFORD WHARF, 20",FLAT 31,HERTFORD ROAD,,LONDON,HACKNEY,GREATER LONDON
671000,11/02/2016,EC2A 4BY,24,APARTMENT 35,LEONARD STREET,,LONDON,ISLINGTON,GREATER LONDON
335000,12/01/2016,N14 4JN,"HYACINTH COURT, 123",FLAT 1,CHELMSFORD ROAD,,LONDON,ENFIELD,GREATER LONDON
450000,22/01/2016,HA4 7LX,36,,FIELD WAY,,RUISLIP,HILLINGDON,GREATER LONDON
362500,29/01/2016,N7 6FR,133,FLAT 6,AXMINSTER ROAD,,LONDON,ISLINGTON,GREATER LONDON
405000,29/01/2016,E3 3GY,"AEGEAN COURT, 20",FLAT 301,SEVEN SEA GARDENS,,LONDON,TOWER HAMLETS,GREATER LONDON
445000,29/01/2016,HA4 6LY,111,,BEDFORD ROAD,,RUISLIP,HILLINGDON,GREATER LONDON
536005,08/02/2016,W4 3SS,29C,,SPENCER ROAD,,LONDON,HOUNSLOW,GREATER LONDON
585000,22/01/2016,HA6 1QN,83,,PINNER ROAD,,NORTHWOOD,HILLINGDON,GREATER LONDON
575000,16/02/2016,EC2Y 9AP,"THE HERON, 5",APARTMENT 1004,MOOR LANE,,LONDON,CITY OF LONDON,GREATER LONDON
650000,04/02/2016,E1 8EY,"STERLING MANSIONS, 75",APARTMENT 51,LEMAN STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
215000,29/01/2016,UB2 5GR,FEATHERSTONE COURT,126,DUDLEY ROAD,,SOUTHALL,EALING,GREATER LONDON
255000,15/02/2016,N11 2RS,95,FLAT 4,TELFORD ROAD,,LONDON,ENFIELD,GREATER LONDON
358000,02/02/2016,N1 2LT,55,FLAT 2,ST PAULS ROAD,,LONDON,ISLINGTON,GREATER LONDON
435000,29/01/2016,HA5 3JS,4,,CAULFIELD GARDENS,,PINNER,HARROW,GREATER LONDON
435000,29/01/2016,HA5 3JS,3,,CAULFIELD GARDENS,,PINNER,HARROW,GREATER LONDON
1200000,05/02/2016,W4 1AH,59,,GREENEND ROAD,,LONDON,EALING,GREATER LONDON
295000,05/02/2016,HA4 0AL,112A,,VICTORIA ROAD,,RUISLIP,HILLINGDON,GREATER LONDON
615000,22/01/2016,N16 8QR,79,,CHURCH WALK,,LONDON,HACKNEY,GREATER LONDON
284750,22/01/2016,HA1 1LD,34,GROUND FLOOR FLAT,GREENHILL ROAD,,HARROW,HARROW,GREATER LONDON
395000,01/02/2016,UB6 0SE,36,,BEDSER DRIVE,,GREENFORD,EALING,GREATER LONDON
685088,28/01/2016,N4 2GR,CITY VIEW APARTMENTS,FLAT 86,DEVAN GROVE,,LONDON,HACKNEY,GREATER LONDON
600000,23/02/2016,HA6 2WG,"ELM HOUSE, 97",FLAT 8,DUCKS HILL ROAD,,NORTHWOOD,HILLINGDON,GREATER LONDON
350000,08/01/2016,N14 7DE,63D,,SELBORNE ROAD,,LONDON,ENFIELD,GREATER LONDON
393000,29/01/2016,NW10 2EF,9,,NEWMAN CLOSE,,LONDON,BRENT,GREATER LONDON
